ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
456889,0.642632970967203,0.3533368924868502,Mills,Republican,rank-and-file Republican,18,112,81,103
456878,0.5681457345719941,0.31353179908814893,Strong,Republican,rank-and-file Republican,12,74,52,76
456918,0.2706915349407256,0.18698873102818667,Menendez,Democrat,moderate Democratic follower,15,210,63,94
456881,0.5266193105232595,0.36481405426376784,Kiley,Republican,centrist Republican,17,91,67,82
456947,0.5790488642249039,0.6293564758091327,Kiggans,Republican,rank-and-file Republican,43,227,246,576
456962,0.23000264408299773,0.31691516416854393,McIver,Democrat,rank-and-file Democrat,9,428,142,251
456958,0.4739020960411518,0.2170163750636809,Fong,Republican,centrist Republican follower ,9,72,75,99
456963,0.5446722131978746,0.16448975982564865,Wied,Republican,centrist Republican follower ,14,178,58,83
457021,0.5360177614895538,0.07576474768116222,Goldman [TX12],Republican,centrist Republican follower ,7,165,22,25
456972,0.24156636743397858,0.3867059143120413,Ansari,Democrat,rank-and-file Democrat,21,388,160,386
457015,0.2945064202817113,0.15147095077437636,Dexter,Democrat,moderate Democratic follower,8,224,70,92
456981,0.34727225783973464,0.2486160907772572,Min,Democrat,moderate Democratic follower,14,270,107,165
456974,0.24804337954172578,0.05406778928302711,Simon,Democrat,moderate Democratic follower,3,364,26,26
457000,0.5172246922607605,0.230813922714182,Downing,Republican,centrist Republican follower ,19,120,81,125
457019,0.3621968975417036,0.12063278132384227,Hernández Rivera,Democrat,centrist Democratic follower,21,146,44,70
457006,0.47067970749182675,0.10350613790694167,Fedorchak,Republican,centrist Republican follower ,12,74,31,42
456982,0.5006365082540521,0.11942398228720567,Hurd,Republican,centrist Republican follower ,14,136,45,53
456995,0.4427380829405082,0.07970928873401899,McDonald Rivet,Democrat,centrist Democratic follower,11,270,26,34
456996,0.3433746851929168,0.15624262474818207,Morrison,Democrat,moderate Democratic follower,10,161,66,95
457030,0.31789886302252107,0.13383690452809013,Randall,Democrat,moderate Democratic follower,8,267,58,68
456992,0.32608583987944667,0.2753761366869037,Elfreth,Democrat,moderate Democratic follower,12,238,128,186
457007,0.3936680156455313,0.04733512968092584,Goodlander,Democrat,centrist Democratic follower,6,195,16,22
456976,0.35275139982253245,0.3069964395182809,Liccardo,Democrat,rank-and-file Democrat,12,108,133,250
456991,0.3408083617045294,0.21171977354558297,Olszewski,Democrat,moderate Democratic follower,8,191,98,140
456978,0.314665286019445,0.14864303161362474,Rivas,Democrat,moderate Democratic follower,8,139,68,93
456980,0.3870331753477005,0.28403964806125076,Tran,Democrat,centrist Democrat,10,242,129,183
457024,0.3208816349860319,0.199456056270094,Johnson [TX32],Democrat,moderate Democratic follower,15,310,87,115
457011,0.30952910881630197,0.029715903946509917,Latimer,Democrat,moderate Democratic follower,3,282,13,14
456985,0.34226003020259194,0.2540048943333473,McBride,Democrat,moderate Democratic follower,5,445,135,139
457026,0.590455919564897,0.08748787784536363,McGuire,Republican,moderate Republican follower,11,213,25,30
457005,0.590266572183068,0.2819901433536602,Moore [NC14],Republican,rank-and-file Republican,20,204,105,163
457012,0.4534362893539295,0.11705608274446294,Riley,Democrat,centrist Democratic follower,11,253,43,54
456988,0.5251761469294355,0.1264262362269529,Shreve,Republican,centrist Republican follower ,10,145,47,59
456997,0.29772722851131206,0.2761261382834571,Bell,Democrat,rank-and-file Democrat,16,343,116,187
404067,0.32632879924337466,0.0,Fields,Democrat,moderate Democratic follower,4,319,0,0
412757,0.3222929317830313,0.040592416594124096,Cisneros,Democrat,moderate Democratic follower,12,234,12,12
457031,0.5032010919633259,0.43691595753970913,Moore [WV2],Republican,centrist Republican,12,100,158,252
457028,0.348337696660483,0.2809414900627426,Subramanyam,Democrat,rank-and-file Democrat,20,262,114,211
457008,0.3933488814123518,0.11806145810875275,Conaway,Democrat,centrist Democratic follower,11,142,56,63
456971,0.3403823529798189,0.20468879359726874,Figures,Democrat,moderate Democratic follower,13,216,91,134
456979,0.31260201660457604,0.33125763940308384,Friedman,Democrat,rank-and-file Democrat,8,241,171,219
457010,0.5011244103211271,0.1669015392379043,Gillen,Democrat,centrist Democratic follower,10,234,84,100
456975,0.4380041982699761,0.266082165835738,Gray,Democrat,centrist Democratic follower,7,116,138,150
457037,0.3280016222058542,0.09217101609424605,Grijalva [AZ7],Democrat,moderate Democratic follower,3,87,42,48
456993,0.3699331721579885,0.2816166689911029,McClain Delaney,Democrat,centrist Democrat,17,312,121,242
457009,0.38308160381698253,0.058824885890934805,Pou,Democrat,centrist Democratic follower,6,140,22,23
457027,0.6717117118317804,0.2537579065654279,Vindman,Democrat,centrist Democratic follower,48,728,104,169
457036,0.35625557540009395,0.09534297796768133,Walkinshaw,Democrat,centrist Democratic follower,5,164,34,46
456977,0.38166316188137667,0.07971081085082866,Whitesides,Democrat,centrist Democratic follower,7,189,32,33
456970,0.5199524288894448,0.11319264097821395,Begich,Republican,centrist Republican follower ,24,142,44,55
457001,0.5690528588973687,0.3192010041995466,McDowell,Republican,rank-and-file Republican,11,182,109,163
456973,0.5649538873414244,0.27726880223408196,Hamadeh,Republican,rank-and-file Republican,19,201,98,146
456999,0.42314377265300746,0.05127272179318984,King-Hinds,Republican,centrist Republican follower ,13,93,22,43
412392,0.502590129215366,0.06684270138017763,Stutzman,Republican,centrist Republican follower ,8,104,22,24
457013,0.36955335573758963,0.09610888799340793,Mannion,Democrat,centrist Democratic follower,5,180,44,44
457023,0.6103036053743462,0.3819377625349108,Gill,Republican,rank-and-file Republican,17,270,121,228
456986,0.5479890239705288,0.17769743550448544,Haridopolos,Republican,centrist Republican follower ,2,171,61,61
457029,0.5209600875837251,0.11786602044166337,Baumgartner,Republican,centrist Republican follower ,12,155,39,44
457034,0.4471333542307218,0.07320876757156876,Patronis,Republican,centrist Republican follower ,11,49,22,23
457020,0.5748578784778039,0.2089287755381974,Biggs [SC3],Republican,moderate Republican follower,9,191,70,104
457018,0.5058967469937613,0.2315596054756995,Bresnahan,Republican,centrist Republican follower ,16,242,97,128
456983,0.479151931666585,0.0325202992252864,Crank,Republican,centrist Republican follower ,4,81,12,13
456984,0.5216097724938368,0.10805550662327357,Evans [CO8],Republican,centrist Republican follower ,18,163,35,56
457003,0.5654297848367816,0.23465739635524357,Harrigan,Republican,moderate Republican follower,14,180,83,119
457002,0.547925742812802,0.28282776258199077,Harris [NC8],Republican,centrist Republican,13,156,70,161
456987,0.4914689147575262,0.13939218801009082,Jack,Republican,centrist Republican follower ,5,90,49,52
457017,0.47142274697507325,0.026544683571117764,Mackenzie,Republican,centrist Republican follower ,9,136,9,9
456989,0.5562309919648877,0.23264040752455484,Messmer,Republican,centrist Republican follower ,9,166,77,105
456990,0.5754650385749637,0.028827103870638342,Schmidt,Republican,moderate Republican follower,9,224,7,9
457014,0.5243089717426955,0.29002897903609715,Taylor,Republican,centrist Republican,24,138,111,162
457016,0.4008107651647315,0.13851538355301776,Bynum,Democrat,centrist Democratic follower,8,236,63,69
456994,0.5083227132182143,0.15601776592202898,Barrett,Republican,centrist Republican follower ,17,117,53,70
456998,0.5157098082577684,0.24285895900312343,Onder,Republican,centrist Republican,13,119,78,108
457022,0.36178006080641406,0.07134118215351064,Turner [TX18],Democrat,centrist Democratic follower,2,49,31,31
457025,0.4797501827497446,0.22959125364637054,Kennedy [UT3],Republican,centrist Republican follower ,28,92,72,102
457035,0.49362967735879043,0.22587005059470489,Fine,Republican,centrist Republican follower ,23,102,70,102
457004,0.46118151007222075,0.189842858733963,Knott,Republican,centrist Republican follower ,3,57,61,67
457038,0.3953999468071547,0.014187175575398019,Van Epps,Republican,centrist Republican follower ,0,2,0,0
